brand_key,sub_segment_key,area,sector,year,sector_annual,baseline_used,ratio,band,reduction,factor,cleaned_sector,removed
lamborghini,suv,SW,SW7,2022,54,1.0,54.0,strong,0.8,0.19999999999999996,10.799999999999997,43.2
lamborghini,suv,SK,SK1,2022,41,1.5,27.333333333333332,strong,0.8,0.19999999999999993,8.199999999999998,32.800000000000004
lamborghini,suv,AL,AL10 9,2022,32,1.0,32.0,strong,0.8,0.19999999999999996,6.399999999999999,25.6
lamborghini,suv,SW,SW7,2023,28,1.0,28.0,strong,0.8,0.19999999999999996,5.599999999999999,22.400000000000002
lamborghini,suv,LE,LE7,2022,28,1.0,28.0,strong,0.8,0.19999999999999996,5.599999999999999,22.400000000000002
lamborghini,suv,AL,AL10 9,2023,23,1.0,23.0,strong,0.8,0.19999999999999996,4.599999999999999,18.400000000000002
lamborghini,suv,RG,RG8,2022,21,1.0,21.0,strong,0.8,0.19999999999999996,4.199999999999999,16.8
lamborghini,suv,LE,LE7,2023,20,2.0,10.0,strong,0.8,0.19999999999999996,3.999999999999999,16.0
lamborghini,core supercar,SW,SW7,2023,17,2.0,8.5,strong,0.8,0.19999999999999996,3.3999999999999995,13.600000000000001
lamborghini,suv,RG,RG8,2023,16,1.0,16.0,strong,0.8,0.19999999999999996,3.1999999999999993,12.8
lamborghini,core supercar,RG,RG8,2022,16,1.0,16.0,strong,0.8,0.19999999999999996,3.1999999999999993,12.8
bentley,suv,WA,WA16 8,2023,13,1.2222222222222223,10.636363636363635,strong,0.8,0.19999999999999998,2.5999999999999996,10.4
lamborghini,core supercar,SW,SW7,2022,13,1.0,13.0,strong,0.8,0.19999999999999998,2.5999999999999996,10.4
lamborghini,core supercar,RG,RG8,2023,12,1.0,12.0,strong,0.8,0.19999999999999996,2.3999999999999995,9.600000000000001
aston martin,suv,SK,SK9,2022,12,1.0,12.0,strong,0.8,0.19999999999999996,2.3999999999999995,9.600000000000001
bentley,gt,BT,BT12 6,2025,12,1.0,12.0,strong,0.8,0.19999999999999996,2.3999999999999995,9.600000000000001
bentley,suv,ML,ML3,2023,11,1.0,11.0,strong,0.8,0.19999999999999993,2.1999999999999993,8.8
aston martin,suv,LS,LS12 6,2022,11,1.0,11.0,strong,0.8,0.19999999999999993,2.1999999999999993,8.8
bentley,suv,BT,BT12 6,2022,11,1.0,11.0,strong,0.8,0.19999999999999993,2.1999999999999993,8.8
lamborghini,core supercar,AL,AL10 9,2022,11,1.0,11.0,strong,0.8,0.19999999999999993,2.1999999999999993,8.8
rolls-royce,suv,SL,SL5,2023,11,1.3333333333333333,8.25,strong,0.8,0.19999999999999993,2.1999999999999993,8.8
bentley,gt,AL,AL10 9,2025,11,1.0,11.0,strong,0.8,0.19999999999999993,2.1999999999999993,8.8
lamborghini,suv,SK,SK1,2023,17,3.2,5.3125,medium,0.5,0.5,8.5,8.5
lamborghini,core supercar,SK,SK1,2023,10,1.0,10.0,strong,0.8,0.19999999999999996,1.9999999999999996,8.0
bentley,gt,W,W1J,2025,10,1.0,10.0,strong,0.8,0.19999999999999996,1.9999999999999996,8.0
bentley,gt,WA,WA16 8,2022,10,1.0,10.0,strong,0.8,0.19999999999999996,1.9999999999999996,8.0
lamborghini,core supercar,SK,SK1,2022,10,1.0,10.0,strong,0.8,0.19999999999999996,1.9999999999999996,8.0
ferrari,gt,BT,BT12 6,2022,10,1.1666666666666667,8.571428571428571,strong,0.8,0.19999999999999996,1.9999999999999996,8.0
mclaren,core supercar,ML,ML3,2025,9,1.0,9.0,strong,0.8,0.19999999999999996,1.7999999999999996,7.2
mclaren,core supercar,ML,ML3,2022,9,1.0,9.0,strong,0.8,0.19999999999999996,1.7999999999999996,7.2
aston martin,suv,NE,NE28 9,2024,9,1.0,9.0,strong,0.8,0.19999999999999996,1.7999999999999996,7.2
bentley,suv,W,W1J,2025,9,1.0,9.0,strong,0.8,0.19999999999999996,1.7999999999999996,7.2
bentley,suv,W,W1J,2024,9,1.0,9.0,strong,0.8,0.19999999999999996,1.7999999999999996,7.2
bentley,suv,LE,LE7,2022,11,1.75,6.285714285714286,medium,0.5,0.5,5.5,5.5
mclaren,core supercar,LS,LS9,2024,10,1.3333333333333333,7.5,medium,0.5,0.5,5.0,5.0
aston martin,gt,W,W3 0,2022,9,1.25,7.2,medium,0.5,0.5,4.5,4.5
bentley,suv,BT,BT12 6,2023,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
bentley,suv,W,W1J,2022,8,1.0714285714285714,7.466666666666667,medium,0.5,0.5,4.0,4.0
aston martin,suv,SK,SK9,2025,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
aston martin,suv,W,W3 0,2024,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
aston martin,gt,BT,BT12 6,2024,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
aston martin,suv,SK,SK9,2024,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
lamborghini,core supercar,LE,LE7,2023,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
aston martin,suv,SK,SK9,2023,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
bentley,suv,WA,WA16 8,2022,8,1.6923076923076923,4.7272727272727275,medium,0.5,0.5,4.0,4.0
lamborghini,core supercar,LE,LE7,2022,8,1.0,8.0,medium,0.5,0.5,4.0,4.0
aston martin,suv,W,W3 0,2022,8,1.1428571428571428,7.0,medium,0.5,0.5,4.0,4.0
bentley,gt,BT,BT12 6,2022,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
bentley,gt,LE,LE7,2022,7,1.1111111111111112,6.3,medium,0.5,0.5,3.5,3.5
bentley,gt,WA,WA16 8,2023,7,1.2857142857142858,5.444444444444444,medium,0.5,0.5,3.5,3.5
bentley,gt,W,W1J,2022,7,1.125,6.222222222222222,medium,0.5,0.5,3.5,3.5
bentley,suv,BS,BS10 7,2023,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
aston martin,suv,NG,NG7,2023,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
bentley,gt,GU,GU23 6,2024,7,1.3333333333333333,5.25,medium,0.5,0.5,3.5,3.5
bentley,suv,SO,SO43 7,2023,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
lamborghini,core supercar,AL,AL10 9,2023,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
bentley,suv,LE,LE7,2023,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
aston martin,suv,BS,BS10 7,2023,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
aston martin,gt,LS,LS12 6,2022,7,1.0,7.0,medium,0.5,0.5,3.5,3.5
aston martin,gt,SK,SK9,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,gt,SK,SK9,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
lamborghini,upper supercar,SW,SW7,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,gt,TN,TN13 2,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,gt,RG,RG8,2025,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,gt,PO,PO19 8,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,BT,BT12 6,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,BS,BS10 7,2025,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
lamborghini,core supercar,SW,SW7,2024,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
mclaren,core supercar,ML,ML3,2024,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
bentley,suv,GU,GU23 6,2024,6,1.2857142857142858,4.666666666666666,medium,0.5,0.5,3.0,3.0
aston martin,suv,GL,GL51 9,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,NE,NE28 9,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,AL,AL10 9,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,RG,RG8,2025,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,RG,RG8,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
bentley,suv,TN,TN2,2023,6,1.2857142857142858,4.666666666666666,medium,0.5,0.5,3.0,3.0
bentley,suv,ML,ML3,2025,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
ferrari,core supercar,BT,BT12 6,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
bentley,suv,LS,LS12 6,2025,6,1.1428571428571428,5.25,medium,0.5,0.5,3.0,3.0
bentley,gt,LS,LS12 6,2025,6,1.2666666666666666,4.736842105263158,medium,0.5,0.5,3.0,3.0
bentley,gt,ML,ML3,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
bentley,suv,B,B24 9,2023,6,1.2,5.0,medium,0.5,0.5,3.0,3.0
bentley,gt,WA,WA16 8,2025,6,1.25,4.8,medium,0.5,0.5,3.0,3.0
bentley,suv,AL,AL10 9,2025,6,1.25,4.8,medium,0.5,0.5,3.0,3.0
bentley,suv,B,B24 9,2022,6,1.2666666666666666,4.736842105263158,medium,0.5,0.5,3.0,3.0
aston martin,suv,NE,NE28 9,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,NG,NG7,2022,6,1.1428571428571428,5.25,medium,0.5,0.5,3.0,3.0
bentley,gt,B,B24 9,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
bentley,gt,AL,AL10 9,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
bentley,gt,EH,EH15 3,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,suv,TN,TN13 2,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,gt,NE,NE28 9,2023,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
mclaren,core supercar,SO,SO43 7,2024,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
mclaren,core supercar,SL,SL5,2022,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
aston martin,gt,AL,AL10 9,2025,6,1.0,6.0,medium,0.5,0.5,3.0,3.0
mclaren,core supercar,SL,SL5,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,MK,MK16 9,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,W,W1J,2023,5,1.2,4.166666666666667,medium,0.5,0.5,2.5,2.5
bentley,gt,LE,LE7,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,ML,ML3,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,HP,HP11 1,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,BS,BS10 7,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,EH,EH15 3,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,GU,GU23 6,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,TN,TN13 2,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,TN,TN13 2,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,W,W3 0,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,HP,HP11 1,2023,5,1.1428571428571428,4.375,medium,0.5,0.5,2.5,2.5
aston martin,suv,PO,PO19 8,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,gt,LE,LE7,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,gt,EX,EX2,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,BS,BS10 7,2022,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,gt,W,W3 0,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
ferrari,core supercar,EX,EX2,2023,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
bentley,suv,LS,LS12 6,2023,5,1.2222222222222223,4.090909090909091,medium,0.5,0.5,2.5,2.5
bentley,suv,CM,CM2,2022,5,1.2222222222222223,4.090909090909091,medium,0.5,0.5,2.5,2.5
bentley,suv,BT,BT12 6,2024,5,1.1428571428571428,4.375,medium,0.5,0.5,2.5,2.5
bentley,suv,LS,LS12 6,2024,5,1.2222222222222223,4.090909090909091,medium,0.5,0.5,2.5,2.5
bentley,suv,EH,EH15 3,2025,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
aston martin,suv,CM,CM14 5,2024,5,1.0,5.0,medium,0.5,0.5,2.5,2.5
