brand,district,sector,sub_segment,year,original_registrations,cleaned_registrations,removed,reason
McLaren,GU21,GU21 4,Core Supercar,2023,102,1.0,101.0,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,GT,2023,101,1.3333333333333333,99.66666666666667,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,GT,2022,81,1.6666666666666665,79.33333333333333,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,SUV,2024,80,1.0,79.0,Factory/HQ/production sector held to local district average (reference list)
McLaren,GU21,GU21 4,Core Supercar,2024,77,1.0,76.0,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,SUV,2023,72,1.0,71.0,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,SUV,2025,70,1.0,69.0,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,SUV,2022,69,1.0,68.0,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,GT,2025,64,1.2,62.8,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,SUV,2024,47,1.0,46.0,Factory/HQ/production sector held to local district average (reference list)
McLaren,GU21,GU21 4,Core Supercar,2025,43,1.0,42.0,Factory/HQ/production sector held to local district average (reference list)
McLaren,GU21,GU21 4,Core Supercar,2022,42,1.0,41.0,Factory/HQ/production sector held to local district average (reference list)
Bentley,CW1,CW1,GT,2024,40,1.5,38.5,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,SUV,2023,38,1.0,37.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,SUV,2025,27,1.6666666666666667,25.333333333333332,Factory/HQ/production sector held to local district average (reference list)
McLaren,GU21,GU21 4,GT,2023,23,1.0,22.0,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,SUV,2023,23,1.0,22.0,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,Upper GT,2025,22,1.0,21.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,GT,2022,21,1.0,20.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,GT,2024,18,1.0,17.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,GT,2025,17,1.25,15.75,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,SUV,2022,16,1.0,15.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,GT,2023,14,1.0,13.0,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,SUV,2024,13,1.0,12.0,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,Upper GT,2023,11,1.0,10.0,Factory/HQ/production sector held to local district average (reference list)
McLaren,GU21,GU21 4,GT,2024,10,1.0,9.0,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,SUV,2025,9,1.0,8.0,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,Upper GT,2024,9,2.0,7.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,Upper GT,2022,6,1.0,5.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,SUV,2022,6,2.0,4.0,Factory/HQ/production sector held to local district average (reference list)
McLaren,GU21,GU21 4,GT,2022,4,1.0,3.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,Upper GT,2023,3,2.0,1.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,Upper GT,2024,2,1.0,1.0,Factory/HQ/production sector held to local district average (reference list)
Aston Martin,CV35,CV35 0,Upper GT,2025,1,1.0,0.0,Factory/HQ/production sector held to local district average (reference list)
McLaren,GU21,GU21 4,GT,2025,1,1.0,0.0,Factory/HQ/production sector held to local district average (reference list)
Rolls-Royce,PO18,PO18 0,Upper GT,2022,1,1.0,0.0,Factory/HQ/production sector held to local district average (reference list)
