sector,area,brand,Model Group,Model,Sub Model,sub_segment,year,treatment_class,original_registrations,cleaned_registrations,redistributed_in
AB13 0,AB,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2022,keep,1,1.0,0.0
AB15 4,AB,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,keep,1,1.0,0.0
AB22 8,AB,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2023,keep,1,1.0,0.0
AB32 6,AB,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2022,keep,1,1.0,0.0
AL1,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2023,keep,1,1.0,0.0
AL1,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,keep,1,1.0,0.0
AL10 9,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2022,dealer,2,2.0,0.0
AL10 9,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2023,dealer,2,1.6000000000000003,0.0
AL10 9,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2023,dealer,1,0.8000000000000002,0.0
AL10 9,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,dealer,2,2.0,0.0
AL10 9,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,dealer,6,3.0,0.0
AL2,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2022,keep,1,1.0,0.0
AL4,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,keep,1,1.0,0.0
AL5,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2022,keep,1,1.0,0.0
AL9,AL,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,keep,1,1.0,0.0
B15 2,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,keep,1,1.0,0.0
B45 8,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2023,keep,1,1.0,0.0
B45 8,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,keep,1,1.0,0.0
B49 6,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,keep,1,1.0,0.0
B49 6,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,keep,1,1.0,0.0
B5,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,2022,keep,1,1.0,0.0
B74 2,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,keep,1,1.0,0.0
B74 3,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,keep,1,1.0,0.0
B75 6,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,keep,1,1.0,0.0
B80 7,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,keep,1,1.0,0.0
B90 4,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2024,dealer,1,1.0,0.0
B90 4,B,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB12,GT,2025,dealer,2,2.0,0.0
