month,year,sector,area,brand,Model Group,Model,Sub Model,sub_segment,treatment_class,original_registrations,cleaned_registrations
2022-01,2022,AB13 0,AB,Ferrari,Ferrari,Ferrari SF90 Stradale,Ferrari SF90 Stradale,Upper Supercar,keep,1,1.0081967213114753
2022-01,2022,AB15 8,AB,Ferrari,Ferrari,Ferrari 812,Ferrari 812,Upper GT,keep,1,1.0
2022-01,2022,AB15 9,AB,Ferrari,Ferrari,Ferrari 812,Ferrari 812,Upper GT,keep,1,1.0
2022-01,2022,PA23 8,PA,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,BN16 2,BN,Aston Martin,Aston Martin: DBX,Aston Martin DBX,Aston Martin DBX,SUV,keep,1,1.0
2022-01,2022,BN18 0,BN,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,BN18 9,BN,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,keep,1,1.0004555808656037
2022-01,2022,HA8,HA,Rolls-Royce,BMW: Rolls-Royce Cullinan,Rolls-Royce Cullinan,Rolls-Royce Cullinan,SUV,keep,1,1.0076628352490422
2022-01,2022,N3 2,N,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GTC,GT,keep,1,1.0004555808656037
2022-01,2022,NW11 7,NW,Ferrari,Ferrari,Ferrari 812,Ferrari 812,Upper GT,keep,1,1.0
2022-01,2022,NW11 8,NW,Ferrari,Ferrari,Ferrari F8/488/458,Ferrari F8,Core Supercar,keep,1,1.0024834437086092
2022-01,2022,NW4,NW,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GTC,GT,keep,1,1.0004555808656037
2022-01,2022,CM11 1,CM,Aston Martin,Aston Martin: DBX,Aston Martin DBX,Aston Martin DBX,SUV,keep,1,1.0
2022-01,2022,RG20 9,RG,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,keep,1,1.0004555808656037
2022-01,2022,BT12 6,BT,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,dealer,1,0.5
2022-01,2022,BT12 6,BT,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,dealer,4,0.7999999999999997
2022-01,2022,BT12 6,BT,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GTC,GT,dealer,1,0.5
2022-01,2022,BT12 6,BT,Ferrari,Ferrari,Ferrari Portofino,Ferrari Portofino,GT,dealer,1,0.19999999999999996
2022-01,2022,BT12 6,BT,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GTC,GT,dealer,1,0.5
2022-01,2022,BT12 6,BT,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,dealer,1,0.19999999999999993
2022-01,2022,BT12 6,BT,Ferrari,Ferrari,Ferrari F8/488/458,Ferrari F8,Core Supercar,dealer,2,1.0
2022-01,2022,BT2,BT,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,DA5,DA,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,B17 8,B,Ferrari,Ferrari,Ferrari F8/488/458,Ferrari F8,Core Supercar,keep,1,1.0024834437086092
2022-01,2022,B24 9,B,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,dealer,1,0.5
2022-01,2022,B24 9,B,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GTC,GT,dealer,1,0.5
2022-01,2022,B24 9,B,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,dealer,2,1.0
2022-01,2022,B33,B,Ferrari,Ferrari,Ferrari F8/488/458,Ferrari F8,Core Supercar,keep,1,1.0024834437086092
2022-01,2022,B74,B,Lamborghini,Volkswagen: Lamborghini Urus,Lamborghini Urus,Lamborghini Urus,SUV,keep,1,1.1587301587301586
2022-01,2022,LE2,LE,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,PE21 7,PE,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,keep,1,1.0004555808656037
2022-01,2022,BH6,BH,Rolls-Royce,BMW: Rolls-Royce Cullinan,Rolls-Royce Cullinan,Rolls-Royce Cullinan,SUV,keep,1,1.0076628352490422
2022-01,2022,BD1,BD,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,finance,1,0.2
2022-01,2022,BD1,BD,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,finance,1,0.2
2022-01,2022,CM8,CM,Ferrari,Ferrari,Ferrari Roma,Ferrari Roma,GT,keep,1,1.0084925690021231
2022-01,2022,HA0,HA,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,CM14 5,CM,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,dealer,2,1.6
2022-01,2022,CM4,CM,Ferrari,Ferrari,Ferrari 812,Ferrari 812,Upper GT,keep,1,1.0
2022-01,2022,BN3,BN,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,BS9,BS,Ferrari,Ferrari,Ferrari F8/488/458,Ferrari F8,Core Supercar,keep,1,1.0024834437086092
2022-01,2022,BS9,BS,Ferrari,Ferrari,Ferrari 812,Ferrari 812,Upper GT,keep,1,1.0
2022-01,2022,BR1,BR,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,keep,1,1.0
2022-01,2022,BR6,BR,Aston Martin,Aston Martin: DBX,Aston Martin DBX,Aston Martin DBX,SUV,keep,1,1.0
2022-01,2022,BR6,BR,Rolls-Royce,BMW: Rolls-Royce,Rolls-Royce Wraith,Rolls-Royce Wraith,Upper GT,keep,1,1.0
2022-01,2022,B45 8,B,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,EN10 7,EN,Ferrari,Ferrari,Ferrari F8/488/458,Ferrari F8,Core Supercar,keep,1,1.0024834437086092
2022-01,2022,M45 7,M,Aston Martin,Aston Martin: DBX,Aston Martin DBX,Aston Martin DBX,SUV,keep,1,1.0
2022-01,2022,HX2,HX,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,HX7,HX,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,WS15 2,WS,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,keep,1,1.0004555808656037
2022-01,2022,CA3,CA,Ferrari,Ferrari,Ferrari 812,Ferrari 812,Upper GT,keep,1,1.0
2022-01,2022,SA14 9,SA,Aston Martin,Aston Martin: DBX,Aston Martin DBX,Aston Martin DBX,SUV,keep,1,1.0
2022-01,2022,SA15 3,SA,Aston Martin,Aston Martin: DB-Series,Aston Martin DB11/DB12,Aston Martin DB11,GT,keep,1,1.0
2022-01,2022,SA18 3,SA,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,MK45 5,MK,Ferrari,Ferrari,Ferrari Roma,Ferrari Roma,GT,keep,1,1.0084925690021231
2022-01,2022,LE12 8,LE,Ferrari,Ferrari,Ferrari Roma,Ferrari Roma,GT,keep,1,1.0084925690021231
2022-01,2022,LE12 8,LE,Ferrari,Ferrari,Ferrari SF90 Stradale,Ferrari SF90 Stradale,Upper Supercar,keep,1,1.0081967213114753
2022-01,2022,LE7,LE,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,dealer,2,1.0
2022-01,2022,LE7,LE,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,dealer,2,1.0
2022-01,2022,LE7,LE,Lamborghini,Volkswagen: Lamborghini Urus,Lamborghini Urus,Lamborghini Urus,SUV,dealer,2,0.3999999999999999
2022-01,2022,CM1,CM,Lamborghini,Volkswagen: Lamborghini Urus,Lamborghini Urus,Lamborghini Urus,SUV,keep,1,1.1587301587301586
2022-01,2022,CM2,CM,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,dealer,1,1.0
2022-01,2022,CM2,CM,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,dealer,1,0.5
2022-01,2022,CM3,CM,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,keep,1,1.0114782608695652
2022-01,2022,GL51 9,GL,Aston Martin,Aston Martin: DBX,Aston Martin DBX,Aston Martin DBX,SUV,dealer,2,1.0
2022-01,2022,CW1,CW,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,factory_hold,2,0.0411522633744856
2022-01,2022,CW1,CW,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GTC,GT,factory_hold,2,0.0411522633744856
2022-01,2022,CW1,CW,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,factory_hold,1,0.014492753623188406
2022-01,2022,CW1,CW,Bentley,Volkswagen: Bentley Continent.,Bentley Continental GT/GTC/SSp,Bentley Continental GT,GT,factory_hold,1,0.0205761316872428
2022-01,2022,CW1,CW,Bentley,Volkswagen: Bentley Bentayga,Bentley Bentayga,Bentley Bentayga,SUV,factory_hold,2,0.028985507246376812
2022-01,2022,SK10 4,SK,Aston Martin,Aston Martin: DBX,Aston Martin DBX,Aston Martin DBX,SUV,keep,1,1.0
