month,year,sector,area,brand,Sub Model,sub_segment,exclusion_reason,registrations
2022-01,2022,BT60 1,BT,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,BA2,BA,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,BL3,BL,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,BL4,BL,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,WC2H 9,WC,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,CT6,CT,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,SA15 4,SA,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,MK17 8,MK,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,CW1,CW,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,CW8,CW,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,EH16 5,EH,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,BT63 5,BT,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,DL3,DL,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,DY1,DY,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,W4 1,W,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,G62 6,G,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,GL19 3,GL,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,SE3,SE,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,PO9,PO,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,HR9,HR,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,RH13 0,RH,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,SW7,SW,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,NN16 8,NN,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,LS20 8,LS,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,L17 6,L,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,SA8,SA,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,BT39 9,BT,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,BT18 0,BT,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,S45 0,S,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,LE67 2,LE,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,NN1,NN,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,NG7,NG,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,CV7,CV,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,BH14 8,BH,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,PA7,PA,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,DL8,DL,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,CV21 3,CV,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,CV23 0,CV,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,TW20 0,TW,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,JE3,JE,Ferrari,Ferrari F8,Core Supercar,offshore_island_no_gb_drive_time,2
2022-01,2022,JE3,JE,Ferrari,Ferrari 812,Upper GT,offshore_island_no_gb_drive_time,2
2022-01,2022,JE3,JE,Porsche,Porsche 911 Turbo,GT,offshore_island_no_gb_drive_time,1
2022-01,2022,GY1,GY,Ferrari,Ferrari F8,Core Supercar,offshore_island_no_gb_drive_time,1
2022-01,2022,B90 4,B,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,HP9,HP,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-01,2022,CB24 9,CB,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,BS16 7,BS,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,G72 8,G,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,NR35 2,NR,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,WV10 7,WV,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,SO17 1,SO,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,TS18 3,TS,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,ST2,ST,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-01,2022,WF2,WF,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,WA13 0,WA,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,AL9,AL,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,RG31 7,RG,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,RG7,RG,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,SL5,SL,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-01,2022,HP15 6,HP,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-01,2022,FY6,FY,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-02,2022,HA8,HA,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-02,2022,BR7,BR,Mercedes-Benz,Mercedes-Benz AMG GT,GT,non_primary_brand,1
2022-02,2022,GY5,GY,Mercedes-Benz,Mercedes-Benz AMG GT,GT,offshore_island_no_gb_drive_time,1
2022-02,2022,MK45 4,MK,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-02,2022,SG18 9,SG,Porsche,Porsche 911 GT3,Core Supercar,non_primary_brand,1
2022-02,2022,SK9,SK,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-02,2022,KT10 9,KT,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-02,2022,GY8,GY,Bentley,Bentley Continental GT,GT,offshore_island_no_gb_drive_time,1
2022-02,2022,CM19 5,CM,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-02,2022,IM4,IM,Porsche,Porsche 911 GT3,Core Supercar,offshore_island_no_gb_drive_time,1
2022-02,2022,MK16 9,MK,Porsche,Porsche 911 Turbo,GT,non_primary_brand,1
2022-02,2022,RH4,RH,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-02,2022,BT35 8,BT,Maserati,Maserati MC Pura/MC20,Core Supercar,non_primary_brand,1
2022-02,2022,IM8,IM,Aston Martin,Aston Martin DBX,SUV,offshore_island_no_gb_drive_time,1
2022-02,2022,JE3,JE,Bentley,Bentley Continental GTC,GT,offshore_island_no_gb_drive_time,1
2022-02,2022,JE3,JE,Ferrari,Ferrari F8,Core Supercar,offshore_island_no_gb_drive_time,1
2022-02,2022,JE3,JE,Ferrari,Ferrari SF90 Stradale,Upper Supercar,offshore_island_no_gb_drive_time,1
2022-02,2022,JE3,JE,Ferrari,Ferrari 812,Upper GT,offshore_island_no_gb_drive_time,1
2022-02,2022,JE3,JE,Bentley,Bentley Bentayga,SUV,offshore_island_no_gb_drive_time,2
